id,trigger,conditions,script,text,options,notes
"#RULESET_NAME mk3",,,,,,
SHROUD_STUFF,,,,,,
shroud_Site,OpenInteractionDialog,"$id == shroud_site
!$siteshroudExplored","ShowDefaultVisual
SetShortcut defaultLeave ESCAPE
","After defeating the automated defense fleet, your fleet parks into orbit of the planet. Your comm officer shows a message:
TRI-TACHYON // ADVANCED MATERIALS DIVISION  
FACILITY DESIGNATION: [REDACTED]  
STATUS: OFFLINE  

No life signs detected.

And yet, something beneath the surface is still active.","ShroudsiteExplore:Scan the surface test zones
100:defaultLeave:Leave
",
usedfavor,DialogOptionSelected,"$option==usedfavor","$hasfavor=false","""As always you make for an excellent business partner, Captain $playerName.""","100:defaultLeave:You return to orbit",
favor_leave,DialogOptionSelected,"$option==favor_leave",,"""I understand. Let me know when you need anything done. I'll see what I can do.""","100:defaultLeave: Return to orbit",
tritachyonShip,DialogOptionSelected,"$option==tritachyonShip",,"""Of course. I can get you one of the company's most prized assets for a reduced fee and with no commission request, but only if you are on neutral grounds with us.""","0:arroyo_favor: Think of another favor to ask
1:paragon_favor: ""I'll take a Paragon class battleship.""
",
paragon_favor,DialogOptionSelected,"$option==paragon_favor","GrantParagonClassCMD","""I procured you the asset.""","0:usedfavor: ""Thank you Rayan.""",
ttneutral,DialogOptionSelected,"$option==tritachyonRepNeutral","TTFavorCMD","Arroyo taps his datapad. ""Consider this done.""","0:usedfavor: ""Thank you Rayan.""",
ttrelationchange1,DialogOptionSelected,"$option==ttrelationchange
","HostileFactionResetCMD
$shroud_reset_hegemony","""The Hegemony can beâ€¦ inflexible.
We can ensure they stand down, for now.
Do not expect goodwill. Only restraint.""","0:usedfavor: ""Thank you Rayan.""",
ttrelationchange3,DialogOptionSelected,"$option==ttrelationchange3","HostileFactionResetCMD
$shroud_reset_diktat","""The Diktat depends on us more than they would admit. For certain programs. We can use that. Theyâ€™ll pull back.""","0:usedfavor: ""Thank you Rayan.""",
ttrelationchange2,DialogOptionSelected,"$option==ttrelationchange2","HostileFactionResetCMD
$shroud_reset_league","""Using certain 'collaborators' and funds we can bribe the league.
I'll handle the rest. Arrangements will be done
The League will stand down.""","0:usedfavor: ""Thank you Rayan.""",
factionRelationship,DialogOptionSelected,"$option==FactionRelationship",,"""How do you keep finding new ways to complicate your position?
Yes, the company can intervene. But we cannot restore relations to neutral.
We can prevent the formal onset of hostilities. However, If you are already hostile, our leverage is no longer sufficient. This arrangement is limited to the major powers - The Diktat,  the Hegemony, and the League. As for the church he says, they cannot be persuaded by the company.""","0:arroyo_favor: Think of another favor to ask
1:ttrelationchange1: ""I want to avoid hostilities with the Hegemony""
2:ttrelationchange2: ""I want to avoid hostilities with the Persean League""
4:ttrelationchange4: ""I want to avoid hostilities with the Sindria Diktat""",
shroud_SiteExplored,OpenInteractionDialog,"$id == shroud_site
$siteshroudExplored
","ShowDefaultVisual
SetShortcut defaultLeave ESCAPE","Your fleet approach the site.

The planet remains, lying there in the infinite emptiness of the void. The facility is collapsed, making it too risky to attempt any salvage operation.","100:defaultLeave:Leave",
shroud_SiteExplore,DialogOptionSelected,"$option == ShroudsiteExplore
",,"Long-range scans fail to stabilize.
Entire regions of the surface appear inconsistent, as if sections of the planet do not fully exist.
Other areas show extreme structural disruption vast geometric scars, collapsed terrain, and impact patterns that do not correspond to any known form of bombardment.
Your salvage teams deploy to the surface.
Interference disrupts their instruments. Readings fluctuate wildly across short distances.
Initial reports begin to come in.
Multiple chambers have been identified beneath the surface.
Another one has been identified, larger than the other ones.
Each appears to have been used for large-scale testing.
The damage is not uniform.
No two regions show the same pattern of failure.
An hangar has been identified.","0:shroud_SiteExplore1b:Investigate Chamber 1
1:shroud_SiteExplore1C:Investigate Chamber 2
2:shroud_SiteExplore1D:Investigate Chamber 3
3:shroud_SiteExplore1E:Investigate Chamber 4
4:shroud_siteMainChamber:Investigate the Main Chamber
5:shroud_SiteLog:Investigate the computer logs
",
shroud_SiteExplore1B,DialogOptionSelected,"$option == shroud_SiteExplore1b
!$ExoTaken","
AddRemoveAnyItem WEAPONS exoparticle_jet 4
$ExoTaken=true","The chamber walls are scorched and partially collapsed.
Containment structures line the interior, reinforced far beyond standard design tolerances. Many have failed.
Scattered across the floor are stabilized housings sealed, but still intact.
Internal notes recovered from nearby terminals indicate the system was never considered stable.
Despite this, testing continued under direct executive pressure.
Acceptable loss thresholds were repeatedly revised upward during live trials.
Later entries show containment being reinforced not to improve performance, but to delay failure long enough to complete test cycles.
One line is repeated across multiple logs:
Performance exceeds projections. Stability is no longer a requirement.
Several units remain recoverable.","0:shroud_SiteExploreleave:Return to the shuttle",
shroud_siteExplore1C,DialogOptionSelected,"$option == shroud_SiteExplore1C
!$MassLauncherTaken","
AddRemoveAnyItem WEAPONS energymass_launcher 2
$MassLauncherTaken=true","This chamber is largely intact.
Testing rails and targeting arrays remain in place, aligned toward reinforced impact zones carved directly into the surrounding structure.
Several launcher assemblies are secured along the walls.
Recovered notes suggest this system replaced earlier, less controllable projects.
It was never intended to be perfect only predictable.
Multiple logs reference controlled failure margins and acceptable degradation during operation.
One engineer's note stands out:
At least this one fails the way we expect it to.
A number of units remain operational.","0:shroud_SiteExploreleave:Return to the shuttle",
shroud_siteExplore1D,DialogOptionSelected,"$option == shroud_SiteExplore1D
!$FractureLanceTaken","
AddRemoveAnyItem WEAPONS fracture_lance 4
$FractureLanceTaken=true","A deep trench cuts through the chamber, extending far beyond its original boundaries.

The structure appears to have been breached from within.

Emitter arrays remain anchored in place, though their alignment no longer matches the damage pattern.

Test logs indicate the beam performed within expected parameters initially.

Later entries describe inconsistencies between projected trajectories and actual impact locations. Several operators reported that the beam did not originate from the emitter at the moment of firing. No explanation is recorded.

One entry is left incomplete:

""It is not following...""

The remaining emitters appear intact.","0:shroud_SiteExploreleave:Return to the shuttle",
shroud_siteExplore1E,DialogOptionSelected,"$option ==shroud_SiteExplore1E
!$PlasmaTaken","$PlasmaTaken=true
AddRemoveAnyItem WEAPONS volatile_plasma_bolter 6
","The chamber shows signs of repeated, controlled testing.

Impact marks are consistent and evenly distributed, suggesting stable firing patterns.

Unlike other sectors, structural integrity remains largely intact.

This system appears to have been developed as a fallback, simpler, more reliable, and easier to deploy.

However, later entries indicate increasing irregularities during testing cycles.

Projectile behavior became inconsistent when operated alongside other active systems.

Final note:

It was supposed to be isolated.

Several units seems intact.","0:shroud_SiteExploreleave:Return to the shuttle",
shroud_SiteLog,DialogOptionSelected,"$option==shroud_SiteLog",,"[TT-INTERNAL CORRESPONDENCE // PARTIAL RECOVERY]  
Sender:Dr. Halden  
Recipient: Dr. Ilyas  

You've seen the latest directives.
Veyra signed off on them, but the language isn't his.
Stability concerns have been reclassified as non critical variables across all active projects.
We are no longer refining systems.
We are forcing them into operational states.
I don't think this is his decision.
I think it's being made above him.
He was forced to comply.","0:shroud_SiteLog2: Continue reading the logs",
shroud_SiteLog2,DialogOptionSelected,"$option ==shroud_SiteLog2",,"[TT-INTERNAL CORRESPONDENCE // RESPONSE]

Sender: Dr. Ilyas

Recipient: Dr. Halden

You’re not wrong.
The Board has been pushing for results ever since the last round of Hegemony enforcement actions. They don’t want stable systems.They want something that works now.
Veyra is trying to keep this contained. But he’s being forced to authorize tests that should never have been approved.
This facility isn’t operating under research conditions anymore. It’s operating under expectation.","0:shroud_SiteLog3: Continue reading the logs",
shroud_SiteLog3,DialogOptionSelected,"$option ==shroud_SiteLog3",,"[TT-INTERNAL CORRESPONDENCE // FRAGMENT]  
Sender: Dr. Halden  
Recipient: Dr. Ilyas  

Casualty thresholds have increased again.
Still unofficial.
Still deniable.
Veyra attempted to halt cross system testing yesterday.
The request was denied within the hour.
Testing resumed immediately.
He knows this is unstable.
We all do.
But the Board has already decided this is acceptable.","0:shroud_SiteLog4: Continue reading the logs",
shroud_SiteLog4,DialogOptionSelected,"$option ==shroud_SiteLog4",,"[TT-DIRECTIVE // SPECIAL ACQUISITIONS DIVISION]  
Author: Director A. Veyra  

All project leads are to proceed under revised operational parameters.
I am aware of the concerns raised regarding stability, containment integrity, and personnel losses.
These concerns have been documented.
However, CEO Sun has been planning to uses tech inspection negotiations to instigate casus belli with the Hegemony.
We do not have the luxury of delay.
Testing will continue.
All divisions are to prioritize performance validation over long-term stability.
Minimize losses where possible.

â€¦Ensure results.","0:shroud_SiteLog5: Continue reading the logs",
shroud_SiteLog5,DialogOptionSelected,"$option ==shroud_SiteLog5",,"[TT-INTERNAL CORRESPONDENCE // UNSENT DRAFT]

Sender: Senior Researcher Halden

He’s trying to manage it. I can see that now.But it doesn’t matter. We’ve already crossed the point where control was possible. We’re forcing interactions between systems we don’t understand, under conditions we can’t stabilize. If something happens here, it won’t be because Veyra allowed it. It will be because no one above him was willing to stop it.","0:shroud_SiteLog6: Continue reading the logs",
shroud_SiteLog6,DialogOptionSelected,"$option ==shroud_SiteLog6",,"[TT-INTERNAL LOG // PRIORITY CHANNEL]

Sender: Senior Researcher Halden

Containment integrity failing across multiple chambers.

This is not isolated.

Cross-system interaction escalating.

We are registering output in inactive sectors.

This is not following input.

It’s not localized.

[DATA FRAGMENT]

Veyra just ordered a shutdown, It’s not responding...

We are losing structural integr...

Something is inside

This is not...

[ERROR // SIGNAL LOSS]","0:shroud_SiteLog7: Continue reading the logs",
shroud_SiteLog7,DialogOptionSelected,"$option ==shroud_SiteLog7","$global.computerlogs=true
AddTextSmall Recovered computer logs","[TT-DIRECTIVE // BOARD OF DIRECTORS]  
Clearance: ABSOLUTE  
All research activities conducted at this facility are hereby terminated.
All experimental programs related to [REDACTED] phenomena are to be terminated immediately.
No further observation, interaction, or analysis is authorized.
All data is to be sealed under restricted access.
This site is no longer considered viable for recovery operations.
Containment is assumed sufficient.
Priority has shifted.
All available resources are to be redirected toward the ongoing Second AI War.
Any personnel who refuse or fail to comply with this directive will be terminated immediately.
This location is to remain sealed.
No further action will be taken.
[RECOVERY NOTE // PRIORITY UPDATE]
Casualty reports acknowledged.
Recovery operations denied.
Directive remains unchanged.
[RECOVERY NOTE]
The timestamp indicates the directive was issued while the facility was still active.","shroud_Sitepre:Captain we found something",
shroud_SiteLogsTaken,DialogOptionSelected,"$global.computerlogs
$option ==shroud_SiteLog7",,"""We already made a copy of the logs.""","0:shroud_SiteFinal: Return to the shuttle",
shroud_Sitepre,DialogOptionSelected,"$option==shroud_Sitepre",,""" $playerSirOrMadam... we’re picking things up.""
The comms officer hesitates briefly.
""There is an extremely deep chamber beneath the surface.""
""Multiple signals detected inside.""
""We can access it but it's extremely difficult.""
""What sort of things could Tri-Tachyon have hidden in it?""","1:shroud_SiteHidden:Enter the Hidden Chamber",
shroud_siteMainChamber,DialogOptionSelected,"$option ==shroud_siteMainChamber
!$VeilTaken",,"Deep scans reveal a reinforced structure buried beneath the planet’s surface.

The outer shell appears intact, but internal readings are inconsistent. Entire sections of the structure fail to resolve, as if obscured by interference originating from within.

Power signatures persist.

Faint. Irregular.

Still active.

No access points are immediately visible.

A controlled breach is possible.","0:shroud_SiteMainChamber2:Initiate the breach and enter the facility",
shroud_SiteMainChamber2,DialogOptionSelected,"$option ==shroud_SiteMainChamber2",,"The interior layout does not match any standard facility design.

Corridors terminate without warning. Bulkheads appear displaced, as though sections of the structure were forcibly rearranged from within.

Your sensors struggle to maintain a consistent map.

Signal reflections return from locations that do not physically exist.

At the center of the facility, one chamber remains stable.

Everything else appears compromised.","0:shroud_SiteMainChamber3:Enter the chamber",
shroud_SiteMainChamber3,DialogOptionSelected,"$option==shroud_SiteMainChamber3",,"[TT-ARCHIVE QUERY // RESULT FOUND]

Record ID: TT-RD/CONVERGENCE/FINAL

Clearance: DIRECTOR-LEVEL REQUIRED

Project objective: integration of all active experimental systems into a unified weapons platform.

Initial activation successful.

Performance exceeded all projected parameters.

[DATA FRAGMENT RECOVERED]

…cross system interaction confirmed…

…effects no longer isolated…

…containment boundaries destabilizing…

Attempts to isolate individual subsystems failed.

System behavior diverging from input parameters.

[FINAL ENTRY]

“This is no longer a weapon system.”

“We are observing emergent behavior.”","0:shroud_SiteMainChamber4:Enter the chamber",
shroud_SiteMainChamber4,DialogOptionSelected,"$option==shroud_SiteMainChamber4",,"A device remains at the center of the chamber.

Inactive.

Or waiting.

Your systems continue to return inconsistent readings. For brief moments, additional signatures appear alongside the device, large, undefined, and impossible to resolve.

Each scan returns a different result.

None of them match.

Recovering the device is possible.

So is leaving it here.

","0:shroud_SiteMainChamber6:Recover the device
1:shroud_SiteMainChamber7: Do not recover it.",
shroud_SiteMainChamber5,DialogOptionSelected,"$option==shroud_SiteMainChamber6","AddRemoveAnyItem WEAPONS project_redacted 1
$VeilTaken=true","As the retrieval process completes, a brief distortion ripples across your sensors.
The signal pattern matches the anomalies recorded within the facility.
Something registers

Large. Stationary. Watching.

Then nothing.

No further readings.","0:shroud_SiteFinal:Return to orbit",
shroud_SiteMainChamber6,DialogOptionSelected,"$option==shroud_SiteMainChamber7",,"You leave the device behind.

Your crew returns to the shuttle.","0:shroud_SiteFinal: Return to the shuttle
",
shroud_SiteMainVeilTaken,DialogOptionSelected,"$option ==shroud_siteMainChamber
$VeilTaken",,"Your crew already recovered the device. There is nothing valuable left here.","0:shroud_SiteExploreleave: Return to the shuttle",
